Wavelength,B1Blue,B2Green,B3Red,B4NIR
669,0.00014356,0.00008067,0.92588661,0.00001283
670,0.00015119,0.00007509,0.91979557,0.00001325
671,0.00015202,0.00007486,0.91551236,0.00001395
672,0.00015693,0.00006895,0.91345541,0.00001410
673,0.00015686,0.00006944,0.91406966,0.00001399
674,0.00015130,0.00006375,0.91586446,0.00001534
675,0.00015184,0.00006358,0.92112352,0.00001580
676,0.00013690,0.00005878,0.92637606,0.00001690
677,0.00013092,0.00005896,0.93343259,0.00001748
678,0.00013335,0.00005523,0.93977000,0.00001885
679,0.00011361,0.00005501,0.94511856,0.00001898
680,0.00010715,0.00005343,0.94655018,0.00001988
681,0.00010823,0.00005281,0.94482431,0.00002137
682,0.00009932,0.00005140,0.93695460,0.00002320
683,0.00009856,0.00005170,0.92470622,0.00002504
684,0.00009765,0.00005134,0.90515848,0.00002641
685,0.00009914,0.00005138,0.87651239,0.00002837
686,0.00010008,0.00005107,0.84722733,0.00003079
687,0.00010777,0.00005085,0.81626058,0.00003251
688,0.00010686,0.00005096,0.77926628,0.00003533
689,0.00011218,0.00005018,0.74095072,0.00003740
690,0.00012769,0.00005046,0.69853161,0.00004081
691,0.00012456,0.00004904,0.65530863,0.00004361
692,0.00014074,0.00004833,0.60957078,0.00004639
693,0.00014680,0.00004769,0.56408506,0.00004986
694,0.00014400,0.00004781,0.51760530,0.00005346
695,0.00015360,0.00004694,0.47150814,0.00005805
696,0.00015552,0.00004600,0.42482252,0.00006226
697,0.00015166,0.00004584,0.37706746,0.00006694
698,0.00015221,0.00004562,0.32909071,0.00007188
699,0.00014625,0.00004584,0.28093192,0.00007800
700,0.00014561,0.00004525,0.23513938,0.00008485
701,0.00013613,0.00004562,0.19289082,0.00009055
702,0.00013172,0.00004612,0.15584587,0.00010008
703,0.00013242,0.00004747,0.12438828,0.00010713
704,0.00012141,0.00004854,0.09857760,0.00011933
705,0.00012300,0.00004734,0.07759031,0.00012975
706,0.00011836,0.00004932,0.06074302,0.00014324
707,0.00010821,0.00004894,0.04708451,0.00015785
708,0.00010974,0.00005047,0.03618668,0.00017539
709,0.00010309,0.00004972,0.02749464,0.00019507
710,0.00010302,0.00005030,0.02064713,0.00021689
711,0.00010127,0.00005129,0.01533676,0.00024318
712,0.00009629,0.00004999,0.01131374,0.00027135
713,0.00009854,0.00005048,0.00832392,0.00030518
714,0.00009280,0.00004864,0.00613477,0.00034281
715,0.00009475,0.00004901,0.00454626,0.00039712
716,0.00009054,0.00004923,0.00340798,0.00044651
717,0.00009196,0.00004719,0.00258536,0.00050188
718,0.00008822,0.00004950,0.00199356,0.00056707
719,0.00008866,0.00004776,0.00156305,0.00063984
720,0.00008744,0.00005348,0.00125005,0.00072378
721,0.00008550,0.00005702,0.00101327,0.00081879
