Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2
511,6.138E-01,6.961E-07,4.407E-07,5.963E-01,4.018E-01,3.453E-08,6.289E-07,2.472E-07,2.755E-07
512,6.177E-01,6.679E-07,8.404E-07,6.647E-01,2.966E-01,3.982E-09,5.998E-07,1.540E-07,7.046E-07
513,6.216E-01,6.297E-07,5.826E-07,7.314E-01,1.929E-01,3.880E-08,4.799E-07,9.151E-08,2.224E-07
514,6.244E-01,6.367E-07,4.287E-07,7.505E-01,1.407E-01,2.527E-08,4.305E-07,1.292E-07,4.633E-07
515,6.255E-01,6.470E-07,4.422E-07,7.688E-01,8.881E-02,2.729E-08,2.507E-07,5.621E-08,4.365E-07
516,6.265E-01,6.694E-07,5.902E-07,7.687E-01,6.418E-02,2.576E-09,2.358E-07,1.389E-07,1.740E-07
517,6.274E-01,8.414E-07,5.295E-07,7.693E-01,4.106E-02,8.232E-09,3.035E-07,3.110E-07,7.146E-08
518,6.283E-01,9.482E-07,7.833E-07,7.876E-01,2.846E-02,4.397E-08,3.342E-07,1.659E-07,3.051E-09
519,6.299E-01,1.036E-06,1.063E-06,8.053E-01,1.918E-02,4.270E-09,5.253E-07,1.715E-07,5.706E-08
520,6.321E-01,1.142E-06,4.458E-07,8.060E-01,9.926E-03,3.799E-08,6.688E-07,8.778E-08,9.064E-08
521,6.340E-01,1.186E-06,3.761E-07,8.054E-01,6.864E-03,1.629E-08,8.641E-07,2.762E-07,7.155E-07
522,6.359E-01,1.631E-06,7.456E-07,7.909E-01,4.817E-03,1.276E-08,7.718E-07,2.925E-07,3.370E-06
523,6.379E-01,1.777E-06,3.604E-07,7.784E-01,3.325E-03,8.913E-11,5.858E-07,1.915E-07,9.847E-06
524,6.420E-01,1.484E-06,2.713E-07,7.932E-01,2.309E-03,6.968E-10,5.071E-07,1.063E-07,1.060E-05
525,6.493E-01,1.142E-06,2.672E-07,8.070E-01,1.574E-03,1.344E-08,3.043E-07,9.617E-08,4.590E-06
526,6.567E-01,8.366E-07,1.778E-07,8.099E-01,1.142E-03,7.742E-08,3.087E-07,2.187E-07,7.969E-07
527,6.642E-01,7.662E-07,2.305E-07,8.131E-01,8.448E-04,3.131E-07,3.223E-07,4.271E-07,5.872E-07
528,6.718E-01,6.909E-07,2.667E-07,8.180E-01,6.357E-04,1.027E-06,1.552E-07,1.434E-07,8.686E-08
529,6.775E-01,6.861E-07,9.704E-07,8.232E-01,4.899E-04,1.423E-06,2.768E-07,2.214E-07,1.121E-07
530,6.804E-01,7.578E-07,8.966E-07,8.340E-01,3.888E-04,1.050E-06,2.165E-07,1.868E-07,8.954E-07
531,6.833E-01,7.577E-07,6.141E-07,8.438E-01,3.193E-04,4.141E-07,3.094E-07,2.196E-07,1.912E-07
532,6.863E-01,8.008E-07,7.476E-07,8.420E-01,2.710E-04,1.312E-07,2.870E-07,4.287E-07,1.158E-10
533,6.895E-01,7.688E-07,1.426E-06,8.385E-01,2.336E-04,1.274E-07,4.335E-07,2.391E-07,6.567E-08
534,6.924E-01,7.588E-07,1.406E-06,8.143E-01,1.986E-04,1.995E-07,5.935E-07,5.644E-07,8.011E-07
535,6.948E-01,7.341E-07,5.473E-07,7.926E-01,1.616E-04,9.881E-07,6.623E-07,9.452E-07,1.225E-06
536,6.971E-01,7.330E-07,4.231E-07,7.968E-01,1.269E-04,1.886E-06,8.312E-07,5.302E-07,1.469E-06
537,6.991E-01,7.734E-07,5.156E-07,8.026E-01,9.581E-05,1.625E-06,9.055E-07,3.009E-07,2.476E-06
538,7.013E-01,8.616E-07,9.904E-07,8.263E-01,7.217E-05,5.286E-07,9.255E-07,8.017E-08,2.659E-06
539,7.039E-01,9.107E-07,7.304E-07,8.493E-01,5.598E-05,4.234E-08,9.230E-07,3.299E-07,1.530E-06
540,7.064E-01,9.795E-07,3.524E-07,8.593E-01,4.416E-05,3.536E-08,9.030E-07,1.842E-07,7.247E-08
541,7.085E-01,1.193E-06,3.983E-07,8.686E-01,3.672E-05,3.447E-08,9.143E-07,2.409E-07,7.748E-09
542,7.105E-01,1.350E-06,5.212E-07,8.743E-01,3.158E-05,1.978E-08,8.873E-07,3.749E-08,1.394E-07
