Wavelength,B1Blue,B2Green,B3Red,B4NIR
662,2.80218e-05,0.0001850908,0.9412646472,9.0092e-05
663,2.61288e-05,0.00020361,0.9337726274,8.04336e-05
664,2.24984e-05,0.000217226,0.9257112262,6.70788e-05
665,1.8868e-05,0.000230842,0.917649825,5.3724e-05
666,2.2296e-05,0.0002229408,0.907741987,4.65088e-05
667,2.5724e-05,0.0002150396,0.897834149,3.92936e-05
668,2.68958e-05,0.0001991466,0.8876745422,3.7409e-05
669,2.58114e-05,0.0001752618,0.8772631666,4.0855e-05
670,2.4727e-05,0.000151377,0.866851791,4.4301e-05
671,2.32926e-05,0.0001165866,0.8580474918,4.15358e-05
672,2.18582e-05,8.17962e-05,0.8492431926,3.87706e-05
673,1.96864e-05,5.77276e-05,0.8403914618,4.38378e-05
674,1.67772e-05,4.43808e-05,0.8314922994,5.67374e-05
675,1.3868e-05,3.1034e-05,0.822593137,6.9637e-05
676,1.52156e-05,3.00452e-05,0.8092902242,7.2789e-05
677,1.65632e-05,2.90564e-05,0.7959873114,7.5941e-05
678,1.89734e-05,2.91332e-05,0.7790259474,7.79564e-05
679,2.24462e-05,3.02756e-05,0.7584061322,7.88352e-05
680,2.5919e-05,3.1418e-05,0.737786317,7.9714e-05
681,2.76846e-05,3.22204e-05,0.7078526614,0.0001015808
682,2.94502e-05,3.30228e-05,0.6779190058,0.0001234476
683,3.09288e-05,3.1088e-05,0.6436800656,0.000132576
684,3.21204e-05,2.6416e-05,0.6051358408,0.000128966
685,3.3312e-05,2.1744e-05,0.566591616,0.000125356
686,3.79868e-05,2.25748e-05,0.519800266,0.0001577716
687,4.26616e-05,2.34056e-05,0.473008916,0.0001901872
688,4.40252e-05,2.31932e-05,0.424934306,0.0002145974
689,4.20776e-05,2.19376e-05,0.375576436,0.0002310022
690,4.013e-05,2.0682e-05,0.326218566,0.000247407
691,4.01908e-05,1.99444e-05,0.2835515792,0.0002581334
692,4.02516e-05,1.92068e-05,0.2408845924,0.0002688598
693,3.9985e-05,1.97892e-05,0.203989873,0.0002962024
694,3.9391e-05,2.16916e-05,0.172867421,0.0003401612
695,3.8797e-05,2.3594e-05,0.141744969,0.00038412
696,3.68518e-05,2.35856e-05,0.1220985658,0.0004146188
697,3.49066e-05,2.35772e-05,0.1024521626,0.0004451176
698,3.3349e-05,2.28614e-05,0.0865002148,0.0004943652
699,3.2179e-05,2.14382e-05,0.0742427224,0.0005623616
700,3.1009e-05,2.0015e-05,0.06198523,0.000630358
701,3.07066e-05,1.98854e-05,0.0554611388,0.000708162
702,3.04042e-05,1.97558e-05,0.0489370476,0.000785966
703,2.90872e-05,1.90098e-05,0.043658431,0.000856058
704,2.67556e-05,1.76474e-05,0.039625289,0.000918438
705,2.4424e-05,1.6285e-05,0.035592147,0.000980818
706,2.36924e-05,2.22106e-05,0.0337987854,0.0010835256
707,2.29608e-05,2.81362e-05,0.0320054238,0.0011862332
708,2.23244e-05,3.4264e-05,0.0307943124,0.0012627388
709,2.17832e-05,4.0594e-05,0.0301654512,0.0013130424
710,2.1242e-05,4.6924e-05,0.02953659,0.001363346
711,2.5894e-05,3.98828e-05,0.027062252,0.0014532388
712,3.0546e-05,3.28416e-05,0.024587914,0.0015431316
713,4.02306e-05,2.88022e-05,0.0224756988,0.00162234
714,5.49478e-05,2.77646e-05,0.0207256064,0.001690864
715,6.9665e-05,2.6727e-05,0.018975514,0.001759388
716,0.0001304782,2.54394e-05,0.0177346424,0.0018257192
717,0.0001912914,2.41518e-05,0.0164937708,0.0018920504
718,0.0002796286,2.67984e-05,0.0153457616,0.0019606792
719,0.0003954898,3.33792e-05,0.0142906148,0.0020316056
720,0.000511351,3.996e-05,0.013235468,0.002102532
721,0.0006451146,6.8976e-05,0.0122430832,0.002190784
722,0.0007788782,9.7992e-05,0.0112506984,0.002279036
723,0.0008677892,0.0001284634,0.0102841148,0.002367276
724,0.0009118476,0.0001603902,0.0093433324,0.002455504
725,0.000955906,0.000192317,0.00840255,0.002543732
726,0.0008603536,0.0002079838,0.0075971304,0.0030271732
727,0.0007648012,0.0002236506,0.0067917108,0.0035106144
728,0.0006728054,0.0002302456,0.0060438396,0.0038924588
729,0.0005843662,0.0002277688,0.0053535168,0.0041727064
730,0.000495927,0.000225292,0.004663194,0.004452954
731,0.0004766618,0.0001886496,0.0041513872,0.004831358
732,0.0004573966,0.0001520072,0.0036395804,0.005209762
733,0.0004807032,0.0001180218,0.0031906096,0.0056517924
734,0.0005465816,8.66934e-05,0.0028044748,0.0061574492
735,0.00061246,5.5365e-05,0.00241834,0.006663106
736,0.0008530644,5.77926e-05,0.0021505888,0.0073641684
737,0.0010936688,6.02202e-05,0.0018828376,0.0080652308
738,0.0012992618,5.7509e-05,0.0016583232,0.0088994876
739,0.0014698434,4.9659e-05,0.0014770456,0.0098669388
740,0.001640425,4.1809e-05,0.001295768,0.01083439
741,0.0016621902,4.05114e-05,0.0011752884,0.0125630712
742,0.0016839554,3.92138e-05,0.0010548088,0.0142917524
743,0.0015524858,3.85528e-05,0.000944599,0.016413039
744,0.0012677814,3.85284e-05,0.000844659,0.018926931
745,0.000983077,3.8504e-05,0.000744719,0.021440823
746,0.0007355294,3.39672e-05,0.0006994846,0.0246580146
747,0.0004879818,2.94304e-05,0.0006542502,0.0278752062
748,0.0003248746,2.64302e-05,0.0006082194,0.031936301
749,0.0002462078,2.49666e-05,0.0005613922,0.036841299
750,0.000167541,2.3503e-05,0.000514565,0.041746297
751,0.000135447,2.21038e-05,0.0004830278,0.0486953262
752,0.000103353,2.07046e-05,0.0004514906,0.0556443554
753,8.12404e-05,2.02092e-05,0.0004195952,0.0641223468
754,6.91092e-05,2.06176e-05,0.0003873416,0.0741293004
755,5.6978e-05,2.1026e-05,0.000355088,0.084136254
756,5.68816e-05,2.48348e-05,0.0003393864,0.0984667244
757,5.67852e-05,2.86436e-05,0.0003236848,0.1127971948
758,5.73166e-05,3.29114e-05,0.0003142864,0.1296666106
759,5.84758e-05,3.76382e-05,0.0003111912,0.1490749718
760,5.9635e-05,4.2365e-05,0.000308096,0.168483333
761,5.42674e-05,3.77558e-05,0.0003011572,0.194867449
762,4.88998e-05,3.31466e-05,0.0002942184,0.221251565
763,4.46838e-05,3.15454e-05,0.0002899716,0.2505213176
764,4.16194e-05,3.29522e-05,0.0002884168,0.2826767068
765,3.8555e-05,3.4359e-05,0.000286862,0.314832096
766,4.68134e-05,3.41106e-05,0.0002822148,0.3529824828
767,5.50718e-05,3.38622e-05,0.0002775676,0.3911328696
768,6.11968e-05,3.43132e-05,0.000281192,0.430795913
769,6.51884e-05,3.54636e-05,0.000293088,0.471971613
770,6.918e-05,3.6614e-05,0.000304984,0.513147313
771,6.06788e-05,3.33672e-05,0.000303478,0.5557290478
772,5.21776e-05,3.01204e-05,0.000301972,0.5983107826
773,5.59554e-05,2.96088e-05,0.000307868,0.6396078176
774,7.20122e-05,3.18324e-05,0.000321166,0.6796201528
775,8.8069e-05,3.4056e-05,0.000334464,0.719632488
776,7.82342e-05,3.37652e-05,0.000373204,0.7549720144
777,6.83994e-05,3.34744e-05,0.000411944,0.7903115408
778,6.99406e-05,3.52374e-05,0.0004442096,0.8220354048
779,8.28578e-05,3.90542e-05,0.0004700008,0.8501436064
780,9.5775e-05,4.2871e-05,0.000495792,0.878251808
781,9.84558e-05,4.2695e-05,0.000517146,0.899472132
782,0.0001011366,4.2519e-05,0.0005385,0.920692456
783,0.0001135688,4.3455e-05,0.0005561798,0.9382753498
784,0.0001357524,4.5503e-05,0.0005701854,0.9522208134
785,0.000157936,4.7551e-05,0.000584191,0.966166277
786,0.0001908644,4.54058e-05,0.0006181826,0.974058293
787,0.0002237928,4.32606e-05,0.0006521742,0.981950309
788,0.0002627736,3.8453e-05,0.0006747814,0.9878927012
789,0.0003078068,3.0983e-05,0.0006860042,0.9918854696
790,0.00035284,2.3513e-05,0.000697227,0.995878238
791,0.0004302252,3.1873e-05,0.0006845286,0.9975269428
792,0.0005076104,4.0233e-05,0.0006718302,0.9991756476
793,0.0005830712,4.56936e-05,0.0006497754,0.9995785524
794,0.0006566076,4.82548e-05,0.0006183642,0.9987356572
795,0.000730144,5.0816e-05,0.000586953,0.997892762
796,0.0007570928,4.85192e-05,0.000539829,0.9959574484
797,0.0007840416,4.62224e-05,0.000492705,0.9940221348
798,0.0007832294,4.47182e-05,0.0004570952,0.9915134024
799,0.0007546562,4.40066e-05,0.0004329996,0.9884312512
800,0.000726083,4.3295e-05,0.000408904,0.9853491
801,0.0006459226,5.01066e-05,0.0003898808,0.980618244
802,0.0005657622,5.69182e-05,0.0003708576,0.975887388
803,0.0005001154,6.1831e-05,0.000337193,0.9709394592
804,0.0004489822,6.4845e-05,0.000288887,0.9657744576
805,0.000397849,6.7859e-05,0.000240581,0.960609456
806,0.0003650922,8.68978e-05,0.0002487706,0.9561422316
807,0.0003323354,0.0001059366,0.0002569602,0.9516750072
808,0.0003072794,0.0001283578,0.0002583972,0.9470693158
809,0.0002899242,0.0001541614,0.0002530816,0.9423251574
810,0.000272569,0.000179965,0.000247766,0.937580999
811,0.0002687974,0.0002513462,0.0002340368,0.9350789182
812,0.0002650258,0.0003227274,0.0002203076,0.9325768374
813,0.0002585452,0.0004810128,0.0002127366,0.9307358508
814,0.0002493556,0.0007262024,0.0002113238,0.9295559584
815,0.000240166,0.000971392,0.000209911,0.928376066
816,0.0002364792,0.0022511696,0.0002026498,0.9280374568
817,0.0002327924,0.0035309472,0.0001953886,0.9276988476
818,0.0002333662,0.0046847486,0.0001862724,0.9277955932
819,0.0002382006,0.0057125738,0.0001753012,0.9283276936
820,0.000243035,0.006740399,0.00016433,0.928859794
821,0.0002565458,0.0072209126,0.0001706204,0.9292790244
822,0.0002700566,0.0077014262,0.0001769108,0.9296982548
823,0.0002861592,0.0077411694,0.000187676,0.9299598708
824,0.0003048536,0.0073401422,0.000202916,0.9300638724
825,0.000323548,0.006939115,0.000218156,0.930167874
826,0.0003481368,0.0053538902,0.000211068,0.9304770564
827,0.0003727256,0.0037686654,0.00020398,0.9307862388
828,0.0004070844,0.0026097088,0.000200974,0.9310496688
829,0.0004512132,0.0018770204,0.00020205,0.9312673464
830,0.000495342,0.001144332,0.000203126,0.931485024
831,0.0005427248,0.0009707736,0.0002158588,0.93001167
832,0.0005901076,0.0007972152,0.0002285916,0.928538316
833,0.0006568978,0.0006789478,0.000242705,0.9267600124
834,0.0007430954,0.0006159714,0.000258199,0.9246767592
835,0.000829293,0.000552995,0.000273693,0.922593506
836,0.0009739522,0.0005326158,0.000270361,0.9200164472
837,0.0011186114,0.0005122366,0.000267029,0.9174393884
838,0.0013194146,0.000501295,0.0002712138,0.914386664
839,0.0015763618,0.000499791,0.0002829154,0.910858274
840,0.001833309,0.000498287,0.000294617,0.907329884
841,0.0023450986,0.0005153318,0.0003635502,0.9033891164
842,0.0028568882,0.0005323766,0.0004324834,0.8994483488
843,0.0036132032,0.0005585316,0.0004712574,0.8948738982
844,0.0046140436,0.0005937968,0.0004798722,0.8896657646
845,0.005614884,0.000629062,0.000488487,0.884457631
846,0.0075567884,0.0006991868,0.0005589666,0.8801113382
847,0.0094986928,0.0007693116,0.0006294462,0.8757650454
848,0.0117354124,0.0008599824,0.0006878194,0.8709453044
849,0.0142669472,0.0009711992,0.0007340862,0.8656521152
850,0.016798482,0.001082416,0.000780353,0.860358926
851,0.0186244576,0.001324652,0.0008919958,0.85597716
852,0.0204504332,0.001566888,0.0010036386,0.851595394
853,0.021459237,0.0019636796,0.0011279178,0.8469197636
854,0.021650869,0.0025150268,0.0012648334,0.8419502688
855,0.021842501,0.003066374,0.001401749,0.836980774
856,0.0202532062,0.0040620616,0.0016019834,0.8325639376
857,0.0186639114,0.0050577492,0.0018022178,0.8281471012
858,0.0170615462,0.0062921428,0.0020205502,0.8233860122
859,0.0154461106,0.0077652424,0.0022569806,0.8182806706
860,0.013830675,0.009238342,0.002493411,0.813175329
861,0.0126270274,0.0105991588,0.0028721246,0.8072089522
862,0.0114233798,0.0119599756,0.0032508382,0.8012425754
863,0.0104663908,0.0130278898,0.0035963596,0.7956510874
864,0.0097560604,0.0138029014,0.0039086888,0.7904344882
865,0.00904573,0.014577913,0.004221018,0.785217889
866,0.008651182,0.0144520398,0.0046787848,0.7799307462
867,0.008256634,0.0143261666,0.0051365516,0.7746436034
868,0.008047231,0.0137844632,0.0055494762,0.7691919934
869,0.008022973,0.0128269296,0.0059175586,0.7635759162
870,0.007998715,0.011869396,0.006285641,0.757959839
871,0.0080499138,0.0107536336,0.006524169,0.752077711
872,0.0081011126,0.0096378712,0.006762697,0.746195583
873,0.0082976796,0.0086370766,0.0069293448,0.7400709868
874,0.0086396148,0.0077512498,0.0070241124,0.7337039224
875,0.00898155,0.006865423,0.00711888,0.727336858
876,0.0095125472,0.0064179246,0.00708918,0.7203187764
877,0.0100435444,0.0059704262,0.00705948,0.7133006948
878,0.0107957988,0.0056485966,0.0069541054,0.7059611362
879,0.0117693104,0.0054524358,0.0067730562,0.6983001006
880,0.012742822,0.005256275,0.006592007,0.690639065
881,0.0142011304,0.005322689,0.0066719366,0.6821468238
882,0.0156594388,0.005389103,0.0067518662,0.6736545826
883,0.0175815944,0.0055579662,0.0067719056,0.6647999488
884,0.0199675972,0.0058292786,0.0067320548,0.6555829224
885,0.0223536,0.006100591,0.006692204,0.646365896
886,0.0258682216,0.0063965042,0.0067600412,0.6366582892
887,0.0293828432,0.0066924174,0.0068278784,0.6269506824
888,0.0332347498,0.007153862,0.0069000968,0.6169877076
889,0.0374239414,0.007780838,0.0069766964,0.6067693648
890,0.041613133,0.008407814,0.007053296,0.596551022
891,0.0450979778,0.00935183,0.0071903956,0.586585024
892,0.0485828226,0.010295846,0.0073274952,0.576619026
893,0.050992562,0.0114267168,0.0075419348,0.5667548124
