Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2,SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8
475,0.5516,6.511e-07,1.063e-06,6.864e-07,0.8767,8.654e-09,6.106e-11,4.2e-06,2.622e-08,0,0,0,0,0,0,0,0
476,0.5504,6.582e-07,1.447e-06,5.36e-07,0.8766,3.986e-10,6.139e-11,3.903e-06,8.465e-08,0,0,0,0,0,0,0,0
477,0.5496,7.196e-07,1.795e-06,4.103e-07,0.8765,1.545e-08,6.176e-11,3.25e-06,3.706e-09,0,0,0,0,0,0,0,0
478,0.5488,7.338e-07,1.483e-06,3.56e-07,0.8824,6.698e-10,1.627e-09,2.452e-06,1.473e-08,0,0,0,0,0,0,0,0
479,0.5486,8.47e-07,1.456e-06,2.96e-07,0.8879,1.432e-09,5.368e-09,2.161e-06,2.013e-07,0,0,0,0,0,0,0,0
480,0.5513,1.245e-06,6.065e-07,3.108e-07,0.8946,1.618e-09,2.475e-10,1.5e-06,9.268e-07,0,0,0,0,0,0,0,0
481,0.5544,2.278e-06,5.92e-07,3.903e-07,0.9019,4.564e-09,6.265e-11,1.22e-06,1.645e-06,0,0,0,0,0,0,0,0
482,0.5577,7.729e-06,7.055e-07,5.191e-07,0.8992,1.41e-09,4.831e-08,8.243e-07,9.14e-07,0,0,0,0,0,0,0,0
483,0.561,2.202e-05,1.139e-06,6.324e-07,0.896,1.202e-08,2.665e-09,7.344e-07,1.822e-06,0,0,0,0,0,0,0,0
484,0.563,3.425e-05,3.762e-07,6.792e-07,0.8973,6.751e-09,9.539e-11,4.907e-07,7.605e-07,0,0,0,0,0,0,0,0
485,0.5615,2.316e-05,2.962e-07,5.956e-07,0.8985,3.679e-08,1.568e-08,4.823e-07,1.018e-07,0,0,0,0,0,0,0,0
486,0.5602,7.554e-06,7.684e-07,5.638e-07,0.905,1.69e-08,3.916e-10,5.064e-07,4.417e-08,0,0,0,0,0,0,0,0
487,0.5592,1.719e-06,1.796e-06,5.372e-07,0.9122,1.101e-08,6.445e-11,4.092e-07,3.613e-07,0,0,0,0,0,0,0,0
488,0.5583,1.049e-06,2.083e-06,5.584e-07,0.9252,6.094e-09,3.125e-08,4.141e-07,1.783e-07,0,0,0,0,0,0,0,0
