Wavelength,Pan,Green,Blue,Red,NIR,RedEdge,BlueCoastal
501,0.670204114,5.49684E-05,0.983224183,5.7832E-08,3.92988E-06,0.000230101,0.000231015
502,0.674002575,5.53685E-05,0.984574129,7.45212E-08,5.02606E-06,0.000216971,0.000270818
503,0.677119291,6.03345E-05,0.991626924,4.6619E-07,5.91366E-06,0.000189039,0.000290933
504,0.679381566,6.84417E-05,0.999523559,2.8718E-06,6.23042E-06,0.000152663,0.000269566
505,0.68038708,7.87742E-05,1,6.96909E-06,6.11909E-06,0.00014192,0.00021178
506,0.680431101,9.77576E-05,0.990508097,1.10944E-05,5.49217E-06,0.000224728,0.000153378
507,0.680587541,0.00011474,0.978155381,1.3944E-05,4.61876E-06,0.000443485,0.00011422
508,0.680507488,0.000128309,0.969976553,1.24461E-05,3.84717E-06,0.00072257,0.000102566
509,0.681152412,0.000138408,0.967055306,1.05236E-05,3.27246E-06,0.000906641,0.000109399
510,0.68305192,0.000146545,0.962859464,8.97958E-06,2.91473E-06,0.00089718,0.000125972
511,0.685140757,0.00015582,0.95072145,4.85595E-06,3.34889E-06,0.000775945,0.000154917
512,0.687054459,0.000171206,0.935468809,2.15611E-06,3.53525E-06,0.000677574,0.000182487
513,0.688308821,0.000196135,0.929477774,1.539E-06,9.71413E-06,0.000603171,0.000195404
514,0.688697825,0.000228628,0.937728455,1.77333E-06,4.34831E-05,0.000462552,0.000182064
515,0.6884388,0.000274049,0.949627884,1.24348E-06,0.000131094,0.000281832,0.000150263
516,0.688806006,0.000338324,0.945004055,4.13058E-06,0.000254122,0.000148513,0.000119085
517,0.690851277,0.000429361,0.902830839,1.00632E-05,0.000334687,9.12173E-05,9.43978E-05
518,0.695642903,0.000582325,0.815592074,1.55679E-05,0.000300398,7.70243E-05,7.7157E-05
519,0.703228295,0.000900198,0.691206884,1.74971E-05,0.000187923,8.6921E-05,6.51199E-05
520,0.712956,0.001532646,0.54689681,1.74078E-05,9.42611E-05,0.000137384,5.54104E-05
521,0.723000562,0.002926069,0.405532619,1.50801E-05,5.42553E-05,0.000246079,5.09935E-05
522,0.731211544,0.005842453,0.28739489,1.18564E-05,6.07987E-05,0.0003798,4.84128E-05
523,0.735542666,0.010141011,0.202330134,7.58127E-06,0.00010499,0.000461217,4.82777E-05
524,0.735622588,0.015727519,0.148366736,2.9901E-06,0.000187311,0.00044736,5.16405E-05
525,0.731753305,0.022224994,0.115191964,8.19042E-07,0.00026795,0.000388325,5.23317E-05
526,0.725044809,0.029467643,0.09212547,8.68256E-07,0.00029214,0.000323215,5.98563E-05
527,0.717529958,0.038755893,0.072577478,1.46245E-06,0.000260338,0.000269511,7.8957E-05
528,0.710689374,0.053780007,0.054545535,1.56043E-06,0.000264035,0.000198257,0.000110622
529,0.705444386,0.081852958,0.03894071,1.23332E-05,0.000386589,0.000123717,0.000139956
530,0.702721516,0.134242393,0.027005155,4.98543E-05,0.000589614,7.58165E-05,0.000138303
531,0.702360904,0.221981418,0.019633003,0.000119285,0.000693275,5.9541E-05,0.000109334
532,0.704870237,0.346835461,0.015692121,0.000220641,0.000594946,5.58019E-05,7.85664E-05
533,0.709883309,0.49215542,0.013405083,0.000286207,0.000377117,5.46404E-05,5.26715E-05
534,0.717491365,0.628204906,0.011858856,0.000250967,0.000213728,5.69554E-05,4.35508E-05
535,0.728211902,0.731470553,0.010444504,0.000174123,0.000146048,6.00024E-05,4.47346E-05
536,0.741429978,0.796171515,0.008748419,0.000140949,0.000129728,7.29383E-05,4.78433E-05
537,0.756349505,0.832369646,0.006897664,0.000119316,0.000113984,0.000120192,6.17769E-05
538,0.770980195,0.852182049,0.005181061,5.63027E-05,8.524E-05,0.000252209,8.28506E-05
539,0.783508345,0.863162585,0.003825845,1.12661E-05,5.51993E-05,0.000468545,0.000114175
540,0.791915408,0.868648855,0.002887405,1.21665E-06,3.61491E-05,0.000680128,0.000168071
541,0.794844703,0.870168517,0.002287111,6.86462E-07,3.55797E-05,0.000791672,0.000225056
